DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

248. APIS - DIAMONDS - STANDARDS S.R.L. | BOTOŞANI | CAEN:4661 | 0740190437
249. EDYZ AGRO S.R.L. | BOTOŞANI | CAEN:4661 | 0757451750
250. SEDIMA SRL | BRAŞOV | CAEN:4661 | 068426932
251. AGRI SIGEVA SRL | BRAŞOV | CAEN:4661 | 0722529586
252. ADINTER COMSERV SRL | BRAŞOV | CAEN:4661 | 092249413
253. TOPAUTO COM SA | BRAŞOV | CAEN:4661 | 0268475546
254. RICVIDAN COM SRL | BRAŞOV | CAEN:4661 | 0268322406
255. MERT-SAN IMPEX MASINI AGRICOLE SRL | BRAŞOV | CAEN:4661 | 
256. SALCAM - PROD SRL | BRAŞOV | CAEN:4661 | 0268337713
257. GRUP EDELWEISS SRL | BRAŞOV | CAEN:4661 | 0268476652
258. AGRO LEGATO RO SRL | BRAŞOV | CAEN:4661 | 068473014
259. TILIA TRADE SRL | BRAŞOV | CAEN:4661 | 
260. GEPETTO CONSULT SRL | BRAŞOV | CAEN:4661 | 0368440960
261. DONOANGI S.R.L. | BRAŞOV | CAEN:4661 | 
262. DUOTRAC S.R.L. | BRAŞOV | CAEN:4661 | 0268273623
263. ST. ANDREW INVEST SRL | BRAŞOV | CAEN:4661 | 
264. ROMAVIA OTIS SRL | BRAŞOV | CAEN:4661 | 0268 / 481555
265. TERRA AGRAR S.R.L. | BRAŞOV | CAEN:4661 | 
266. KASPER AGRI SRL | BRAŞOV | CAEN:4661 | 0749075414
267. AGRAR CLIMA SRL | BRAŞOV | CAEN:4661 | 0368414029
268. PRIMOG-TRAC SRL | BRAŞOV | CAEN:4661 | 0722733322
269. CYBER TRADE SRL | BRAŞOV | CAEN:4661 | 0368449049
270. UNICORN CENTER A.H. SRL | BRAŞOV | CAEN:4661 | 0728158086
271. AGROLAND CONSULT SRL | BRAŞOV | CAEN:4661 | 0745143383
272. SCHMELZER SRL | BRAŞOV | CAEN:4661 | 0268265840
273. DEERPOWER S.R.L. | BRAŞOV | CAEN:4661 | 
274. MECOMAG H.V. SRL | BRAŞOV | CAEN:4661 | 0744565495
275. CARTUR AGRO CODLEA SRL | BRAŞOV | CAEN:4661 | 0268250272
276. AMA RO PIESE SRL | BRAŞOV | CAEN:4661 | 0740096761
